name,trip_count,route_count,geometry
B Narayanapura,417,104,POINT (77.68399 13.00039)
B Narayanapura Ring Road,1067,66,POINT (77.68387 12.99589)
B Palya Razakapalya,3,1,POINT (77.6594 13.14436)
BCC Layout,4,2,POINT (77.52978 12.95128)
BCC Layout Cross,4,2,POINT (77.53486 12.95473)
BCMC Layout Raghuvanahalli,3,3,POINT (77.54947 12.87833)
BDA Complex Banashankari 2nd Stage,6,3,POINT (77.56428 12.9247)
BDA Complex Cross Nagarabhavi,240,20,POINT (77.51278 12.97199)
BDA Complex HBR Layout,1,1,POINT (77.62809 13.02589)
BDA Complex HSR Layout,107,7,POINT (77.63807 12.91296)
BDA Complex Koramangala,389,40,POINT (77.62248 12.93109)
BDA Complex Nagarabhavi,313,35,POINT (77.51064 12.97958)
BDA Flats Kommaghatta,1,1,POINT (77.46208 12.91473)
BDA Park Bande Maramma Temple,10,3,POINT (77.5148 12.96948)
BDS Nagara,7,4,POINT (77.64308 13.0657)
BEL Circle,1977,189,POINT (77.55654 13.04588)
BEL Factory,32,17,POINT (77.55861 13.04887)
BEL Hospital,515,31,POINT (77.55745 13.05064)
BEL Layout Dasanapura,4,3,POINT (77.42317 13.08929)
BEL Market,358,39,POINT (77.55192 13.05189)
BEL Market 1,323,27,POINT (77.55193 13.05192)
BEML Complex,342,29,POINT (77.52033 12.91952)
BEML Factory,8,8,POINT (77.65908 12.97146)
BEML Gate,191,49,POINT (77.6588 12.9713)
BEML Layout 5th stage,513,47,POINT (77.52111 12.90684)
BEML Layout Gate,780,33,POINT (77.71641 12.96083)
BGS College Chikkaballapura,6,1,POINT (77.72662 13.39551)
BGS College Gate Devagere,31,7,POINT (77.46868 12.84759)
BGS Health City Gate Abhiman Studio,141,15,POINT (77.49909 12.90714)
BGS International Residential School,1,1,POINT (77.46205 12.84663)
BGS PU College Thotagere,17,12,POINT (77.45146 13.14427)
BGS School Banandur,6,5,POINT (77.39727 12.77952)
BHEL,2039,252,POINT (77.66026 12.8452)
BHEL Concord Layout,7,2,POINT (77.50942 12.90822)
BHEL Layout,19,6,POINT (77.50835 12.91624)
BHEL Layout Cross,26,9,POINT (77.51103 12.91577)
BHEL Layout Maramma Temple,7,3,POINT (77.5088 12.92192)
BHEL Layout Water Tank,12,4,POINT (77.50906 12.91895)
BIES Kuduregere,25,2,POINT (77.46974 13.06249)
BK Circle,442,49,POINT (77.58325 12.87062)
BME-1 NICE Road,5,2,POINT (77.53179 12.91943)
BME-2 NICE Road,5,2,POINT (77.51346 12.89345)
BMSIT College Campous Yelahanka,5,4,POINT (77.56811 13.1337)
BMTC Training Centre,20,7,POINT (77.44841 13.01994)
BN Bachegowda Badavane,2,2,POINT (77.84542 12.9627)
BN Bachegowda Badavane Colony,19,11,POINT (77.84512 12.96278)
BOB Colony,40,2,POINT (77.5864 12.89299)
BP Indian School Nelamangala,17,14,POINT (77.37555 13.08764)
BPL,1646,230,POINT (77.74828 12.98525)
BRV Talkies Cubbon Road,184,38,POINT (77.60273 12.97911)
BSF Yalahanka,2,2,POINT (77.60492 13.12912)
BTL College,949,113,POINT (77.69485 12.81185)
BTM Layout 16th Main,1186,70,POINT (77.60912 12.91662)
BTM Layout 16th Main Road,20,5,POINT (77.61014 12.91627)
BTM Layout Water Tank,1205,75,POINT (77.60718 12.91667)
BTR Garden,28,13,POINT (77.64662 12.89028)
BTS Layout Basaveshwaranagara,2,2,POINT (77.48056 12.97707)
BUC ADM Block,494,30,POINT (77.50069 12.95007)
BUC Ladies Hostel,488,29,POINT (77.50602 12.94187)
BUC Library,488,29,POINT (77.50421 12.9443)
BUC Quarters,168,7,POINT (77.49917 12.95203)
BWSSB Quarters Nayandahalli,1337,187,POINT (77.5236 12.93987)
BWSSB Tavarekere,114,19,POINT (77.39937 12.97007)
Babusabpalya,1368,112,POINT (77.64721 13.02274)
Babusabpalya 302,30,8,POINT (77.64747 13.02285)
Bachahalli Gate,369,41,POINT (77.67332 13.21205)
Bachenahatti,52,10,POINT (77.30395 12.955)
Badekatte,7,2,POINT (77.48975 12.81806)
Badrapura,2,1,POINT (77.42746 12.87177)
Bagalagunte,724,106,POINT (77.50735 13.05665)
Bagalur,607,97,POINT (77.66797 13.13453)
Bagalur Colony,123,44,POINT (77.67118 13.14146)
Bagalur Cross,976,160,POINT (77.61061 13.12198)
Bagalur Santhe,588,92,POINT (77.6668 13.13334)
Bagluru Old police Station,202,44,POINT (77.66661 13.12952)
Bagmane Tech Park,31,8,POINT (77.65654 12.98065)
Bagmane Tech Park (Graphite India),2,2,POINT (77.70706 12.97028)
Baguru,33,12,POINT (77.84275 12.89645)
Baguru Colony,29,11,POINT (77.8465 12.89457)
Baladimmanahalli,53,6,POINT (77.74341 13.1898)
Balaganahalli Cross,1,1,POINT (77.94176 12.89314)
Balageranahalli Cross,6,3,POINT (77.73468 12.78744)
Balagere,18,4,POINT (77.72901 12.93963)
Balaji Apartment HSR Layout,2,2,POINT (77.64895 12.90496)
Balaji Badavane Sulikere,103,7,POINT (77.44331 12.93565)
Balaji Layout,6,2,POINT (77.48914 12.96002)
Balaji Layout 100ft Road,1,1,POINT (77.53984 12.87772)
Balaji Theatre Magadi,4,1,POINT (77.23686 12.96057)
Balavikas International School,3,1,POINT (77.51453 12.96696)
Balavikas School Gidadakonenahalli,1,1,POINT (77.4914 12.97008)
Balekatte,1,1,POINT (77.21031 12.9278)
Balenahalli,1,1,POINT (77.19354 12.89576)
Balepura,13,3,POINT (77.77896 13.1992)
Balepura Gate,98,5,POINT (77.77734 13.19791)
Baleveeranahalli,3,1,POINT (77.39394 13.0186)
Balluru,1,1,POINT (77.78728 12.75424)
Balluru Cross,2,2,POINT (77.77934 12.74971)
Baluvanahalli Cross,1,1,POINT (77.80811 13.26238)
Bamboo Bazaar,1756,203,POINT (77.60402 12.99208)
Banahalli,2,1,POINT (77.91228 13.21376)
Banandur Circle,6,5,POINT (77.39841 12.77536)
Bananduru,6,5,POINT (77.39795 12.77677)
Banarahalli,4,4,POINT (77.86284 12.95716)
Banasawadi,427,21,POINT (77.65234 13.01452)
Banasawadi 100 Feet Road,31,9,POINT (77.64963 13.01513)
Banashankari,381,76,POINT (77.57373 12.91631)
