name,trip_count,route_count,id,geometry
Mary Immaculate School,65,21,w1,POINT (77.66782 13.12579)
Masthenahalli,9,2,3xr,POINT (77.66763 12.78692)
Masthenahalli,1,1,5z,POINT (77.66788 12.78697)
Mata Mallasandra,46,15,5bx,POINT (77.83412 12.94743)
Mata Mallasandra,1,1,xb,POINT (77.83359 12.94782)
Matadahalli,50,1,1e9,POINT (77.59362 13.01364)
Matadahalli,248,22,5kp,POINT (77.59365 13.01366)
Mathikere,1,1,23u,POINT (77.18238 12.88315)
Mathikere,107,19,3zj,POINT (77.55755 13.03533)
Mathikere,380,32,5ah,POINT (77.55748 13.03467)
Mathikere,50,2,6eo,POINT (77.55705 13.03466)
Mathikere,531,57,xq,POINT (77.55741 13.03455)
Mathikere Aralimara,1,1,1fs,POINT (77.17791 12.88994)
Mathikere Post Office,5,2,2rk,POINT (77.55907 13.0289)
Matta Gate,3,1,1t5,POINT (77.29369 12.8888)
Matta Village,3,1,62d,POINT (77.29203 12.88111)
Mattahalli,8,4,27i,POINT (77.45714 13.10815)
Mattahalli,15,7,oh,POINT (77.4571 13.10818)
Mattahalli Cross,19,8,4g2,POINT (77.44373 13.11033)
Mattahalli Cross,32,12,4p6,POINT (77.44365 13.11037)
Mavallipura,8,2,5gq,POINT (77.52896 13.12768)
Mavallipura,5,3,5ht,POINT (77.52907 13.12759)
Mavinamara Vanakanahalli,6,1,3as,POINT (77.6949 12.67376)
Mayaganahalli,2,1,3y2,POINT (77.33553 12.76792)
Mayaganahalli,1,1,48p,POINT (77.3355 12.76852)
Mayasandra,4,2,37u,POINT (77.74675 12.75204)
Mayasandra,1,1,4zj,POINT (77.37745 12.87732)
Mayasandra,4,2,5wa,POINT (77.37747 12.87735)
Mayasandra Gate,9,3,4dl,POINT (77.74785 12.75049)
Mayasandra Gate,70,8,5af,POINT (77.74774 12.75037)
Mayasandra Gate,2,1,65q,POINT (77.65983 13.30994)
Mayasandra Kodi,66,6,21v,POINT (77.74235 12.74805)
Mayasandra Kodi,8,2,3mh,POINT (77.74234 12.74808)
Mayohall,580,94,27,POINT (77.6099 12.97336)
Mayohall,1,1,3xk,POINT (77.61083 12.97266)
Mayohall,279,56,5ug,POINT (77.61051 12.97349)
Mayohall G-2,65,10,4cp,POINT (77.61119 12.97395)
Mazara Hosahalli,1,1,2fw,POINT (77.53461 13.25441)
Mazara Hosahalli Cross,3,2,dm,POINT (77.54813 13.24847)
Meda Maranahalli,4,1,4yc,POINT (77.45173 12.70143)
